model,feature_set,subject,fold,sens,spec,bal_acc,auc,hp_trees,hp_min_n,hp_tree_depth,hp_learn_rate,hp_mtry
xgb,full,01,1,0.5730061349693252,0.5821256038647343,0.5775658694170298,0.606905545182419,644,6,4,0.012986545220613996,NA
xgb,full,03,2,0.8075060532687651,0.535,0.6712530266343826,0.7554782082324456,644,6,4,0.012986545220613996,NA
xgb,full,04,3,0.38571428571428573,0.899888765294772,0.6428015255045288,0.7071408708088358,644,6,4,0.012986545220613996,NA
xgb,full,05,4,0.7299618320610687,0.7513321492007105,0.7406469906308896,0.8295171043889749,644,6,4,0.012986545220613996,NA
xgb,full,06,5,0.5454545454545454,0.5632432432432433,0.5543488943488943,0.5768202293202297,472,12,5,0.01382194074083911,NA
xgb,full,07,6,0.6739130434782609,0.7453874538745388,0.7096502486763998,0.7929998166441301,644,6,4,0.012986545220613996,NA
xgb,full,08,7,0.3547297297297297,0.8377997179125529,0.5962647238211414,0.665450005717988,644,6,4,0.012986545220613996,NA
xgb,full,09,8,0.3362573099415205,0.6646447140381283,0.5004510119898244,0.5347709973952794,644,6,4,0.012986545220613996,NA
xgb,full,10,9,0.4,0.7185877466251298,0.559293873312565,0.5815566775283176,644,6,4,0.012986545220613996,NA
xgb,full,11,10,0.3106796116504854,0.9061277705345502,0.6084036910925178,0.6925102213896023,644,6,4,0.012986545220613996,NA
xgb,full,12,11,0.6129032258064516,0.6835650040883074,0.6482341149473796,0.7350632908357203,644,6,4,0.012986545220613996,NA
xgb,full,13,12,0.6678571428571428,0.656969696969697,0.66241341991342,0.6907445887445874,644,6,4,0.012986545220613996,NA
xgb,full,14,13,0.6477272727272727,0.7694419030192132,0.708584587873243,0.8345774765033686,644,6,4,0.012986545220613996,NA
xgb,full,15,14,0.9635036496350365,0.36779911373707536,0.665651381686056,0.8277286008474519,644,6,4,0.012986545220613996,NA
xgb,full,16,15,0.475,0.7789351851851852,0.6269675925925926,0.7158854166666666,644,6,4,0.012986545220613996,NA
xgb,full,17,16,0.674074074074074,0.8378812199036918,0.7559776469888829,0.8260388799714623,644,6,4,0.012986545220613996,NA
