metric,model_A,model_B,mean_A,mean_B,delta,ci_low,ci_high,p_raw,p_BH,p_holm,sig_raw,sig_BH,sig_holm
sens,Attention (default),DT,0.5210397038210448,0.5720868242450072,-0.051047120423962325,-0.1080042087495692,0.016518147032787835,0.128,0.16111888111888112,1,FALSE,FALSE,FALSE
sens,Attention (default),LGB (default),0.5210397038210448,0.295264934794256,0.2257747690267889,0.17300211536085974,0.2752522212935896,0,0,0,TRUE,TRUE,TRUE
sens,Attention (default),LGB (tuned),0.5210397038210448,0.29934619478765073,0.2216935090333941,0.1684369081833412,0.2711626482006163,0,0,0,TRUE,TRUE,TRUE
sens,Attention (default),LR,0.5210397038210448,0.625122582394644,-0.10408287857359923,-0.16364434983898943,-0.04714544542426803,0,0,0,TRUE,TRUE,TRUE
sens,Attention (default),RF (default),0.5210397038210448,0.22392764833193204,0.2971120554891128,0.24942666621801668,0.3461336248005093,0,0,0,TRUE,TRUE,TRUE
sens,Attention (default),RF (tuned),0.5210397038210448,0.24375555107352512,0.2772841527475197,0.2304672038490598,0.3259303739414985,0,0,0,TRUE,TRUE,TRUE
sens,Attention (default),Transformer,0.5210397038210448,0.649109710207098,-0.12807000638605312,-0.17816975477124897,-0.07080259135199769,0,0,0,TRUE,TRUE,TRUE
sens,Attention (default),XGB (default),0.5210397038210448,0.416807888570512,0.10423181525053285,0.05845578061873479,0.1491519255432667,0,0,0,TRUE,TRUE,TRUE
sens,Attention (default),XGB (tuned),0.5210397038210448,0.5944877120123478,-0.07344800819130295,-0.1232618487137524,-0.025281459357651494,0.004,0.006,0.256,TRUE,TRUE,FALSE
sens,DT,LGB (default),0.5720868242450072,0.295264934794256,0.2768218894507512,0.2026181312146861,0.3390065185471356,0,0,0,TRUE,TRUE,TRUE
sens,DT,LGB (tuned),0.5720868242450072,0.29934619478765073,0.27274062945735644,0.1982954046560753,0.33507386096528474,0,0,0,TRUE,TRUE,TRUE
sens,DT,LR,0.5720868242450072,0.625122582394644,-0.05303575814963689,-0.13039585627609793,0.013617551448835736,0.102,0.12929577464788733,1,FALSE,FALSE,FALSE
sens,DT,RF (default),0.5720868242450072,0.22392764833193204,0.34815917591307516,0.28226804577198294,0.4051354874021254,0,0,0,TRUE,TRUE,TRUE
sens,DT,RF (tuned),0.5720868242450072,0.24375555107352512,0.3283312731714821,0.2545927628007313,0.39122035223518364,0,0,0,TRUE,TRUE,TRUE
sens,DT,Transformer,0.5720868242450072,0.649109710207098,-0.07702288596209081,-0.15687441799598204,0.0021992988217560978,0.064,0.08347826086956522,1,FALSE,FALSE,FALSE
sens,DT,XGB (default),0.5720868242450072,0.416807888570512,0.1552789356744952,0.08745209425245704,0.21314058189662535,0,0,0,TRUE,TRUE,TRUE
sens,DT,XGB (tuned),0.5720868242450072,0.5944877120123478,-0.02240088776734064,-0.08839487139568498,0.03624541330097514,0.526,0.5808588957055215,1,FALSE,FALSE,FALSE
sens,LGB (default),LGB (tuned),0.295264934794256,0.29934619478765073,-0.004081259993394792,-0.01437623946100222,0.007168602363363872,0.468,0.5331645569620254,1,FALSE,FALSE,FALSE
sens,LGB (default),LR,0.295264934794256,0.625122582394644,-0.3298576476003881,-0.3783588576203564,-0.28714242020992264,0,0,0,TRUE,TRUE,TRUE
sens,LGB (default),RF (default),0.295264934794256,0.22392764833193204,0.07133728646232392,0.04661114117235723,0.09472860868545123,0,0,0,TRUE,TRUE,TRUE
sens,LGB (default),RF (tuned),0.295264934794256,0.24375555107352512,0.05150938372073084,0.0325100897683983,0.07029289588612166,0,0,0,TRUE,TRUE,TRUE
sens,LGB (default),Transformer,0.295264934794256,0.649109710207098,-0.35384477541284204,-0.42407823909921866,-0.2841179824597152,0,0,0,TRUE,TRUE,TRUE
sens,LGB (default),XGB (default),0.295264934794256,0.416807888570512,-0.12154295377625604,-0.14163152367961396,-0.10094089430468411,0,0,0,TRUE,TRUE,TRUE
sens,LGB (default),XGB (tuned),0.295264934794256,0.5944877120123478,-0.2992227772180919,-0.3338215516226915,-0.2693322836712158,0,0,0,TRUE,TRUE,TRUE
sens,LGB (tuned),LR,0.29934619478765073,0.625122582394644,-0.32577638760699335,-0.37125679156648467,-0.28309270374221535,0,0,0,TRUE,TRUE,TRUE
sens,LGB (tuned),RF (default),0.29934619478765073,0.22392764833193204,0.0754185464557187,0.052175019936706195,0.09818556293469519,0,0,0,TRUE,TRUE,TRUE
sens,LGB (tuned),RF (tuned),0.29934619478765073,0.24375555107352512,0.055590643714125636,0.03798474768009847,0.0728537823919516,0,0,0,TRUE,TRUE,TRUE
sens,LGB (tuned),Transformer,0.29934619478765073,0.649109710207098,-0.3497635154194472,-0.4185275202179854,-0.2815550172819983,0,0,0,TRUE,TRUE,TRUE
sens,LGB (tuned),XGB (default),0.29934619478765073,0.416807888570512,-0.11746169378286124,-0.13828138242311683,-0.09749744945039705,0,0,0,TRUE,TRUE,TRUE
sens,LGB (tuned),XGB (tuned),0.29934619478765073,0.5944877120123478,-0.29514151722469706,-0.3267292505922053,-0.2661240618318104,0,0,0,TRUE,TRUE,TRUE
sens,LR,RF (default),0.625122582394644,0.22392764833193204,0.401194934062712,0.35054760212112335,0.4580271817900697,0,0,0,TRUE,TRUE,TRUE
sens,LR,RF (tuned),0.625122582394644,0.24375555107352512,0.38136703132111893,0.33410342832656764,0.4346005261349635,0,0,0,TRUE,TRUE,TRUE
sens,LR,Transformer,0.625122582394644,0.649109710207098,-0.023987127812453907,-0.0945059759977139,0.04993464996566953,0.476,0.5388679245283019,1,FALSE,FALSE,FALSE
sens,LR,XGB (default),0.625122582394644,0.416807888570512,0.20831469382413206,0.16678283606215863,0.25121409072741413,0,0,0,TRUE,TRUE,TRUE
sens,LR,XGB (tuned),0.625122582394644,0.5944877120123478,0.03063487038229626,-0.004356826841480122,0.06927900711344318,0.1,0.12765957446808512,1,FALSE,FALSE,FALSE
sens,RF (default),RF (tuned),0.22392764833193204,0.24375555107352512,-0.019827902741593077,-0.03182475155220284,-0.007153275740386494,0,0,0,TRUE,TRUE,TRUE
sens,RF (default),Transformer,0.22392764833193204,0.649109710207098,-0.42518206187516594,-0.49094186183548466,-0.3585576631482657,0,0,0,TRUE,TRUE,TRUE
sens,RF (default),XGB (default),0.22392764833193204,0.416807888570512,-0.19288024023857997,-0.22865917275632133,-0.16046141169627537,0,0,0,TRUE,TRUE,TRUE
sens,RF (default),XGB (tuned),0.22392764833193204,0.5944877120123478,-0.3705600636804158,-0.4173255646455397,-0.32779193021514746,0,0,0,TRUE,TRUE,TRUE
sens,RF (tuned),Transformer,0.24375555107352512,0.649109710207098,-0.40535415913357287,-0.47479610450943566,-0.33730716758587936,0,0,0,TRUE,TRUE,TRUE
sens,RF (tuned),XGB (default),0.24375555107352512,0.416807888570512,-0.17305233749698687,-0.20533091758384409,-0.14337914625301168,0,0,0,TRUE,TRUE,TRUE
sens,RF (tuned),XGB (tuned),0.24375555107352512,0.5944877120123478,-0.3507321609388227,-0.3965193743455736,-0.31072330125030007,0,0,0,TRUE,TRUE,TRUE
sens,Transformer,XGB (default),0.649109710207098,0.416807888570512,0.23230182163658597,0.1630890680529376,0.29852436915697583,0,0,0,TRUE,TRUE,TRUE
