metric,mean,ci_low,ci_high
sens,0.5275479672306076,0.4460313901225132,0.6078369263120933
spec,0.8140762068819121,0.7713754457746164,0.8558678372007353
bal_acc,0.6708120870562598,0.6363431231917775,0.7022479090391278
auc,0.7533654035193911,0.7111250120283749,0.7923866020481679
