metric,mean_unf,mean_flt,delta,ci_low,ci_high,p_two_sided
sens,0.6046005134090982,0.5720641196049385,-0.03253639380415964,-0.052504191198853044,-0.01568781179249158,0.002
spec,0.6894311209545368,0.705897288083916,0.01646616712937917,0.0018845255681730988,0.02999386277844971,0.02
bal_acc,0.6470158171818176,0.6389807038444273,-0.008035113337390234,-0.017885875621601516,7.159382211313124e-4,0.088
auc,0.7096258613246191,0.7030991368915347,-0.006526724433084461,-0.017249553181351455,0.003907258547322826,0.216
