model,feature_set,subject,fold,sens,spec,bal_acc,auc
DT,sensor_only,04,3,0.45357142857142857,0.7352614015572859,0.5944164150643573,0.5981626410297155
DT,sensor_only,05,4,0.732824427480916,0.650088809946714,0.691456618713815,0.7458137296109989
DT,sensor_only,06,5,0.48863636363636365,0.7470270270270271,0.6178316953316954,0.6532657657657657
DT,sensor_only,07,6,0.4254658385093168,0.834870848708487,0.630168343608902,0.6329100868648437
DT,sensor_only,08,7,0.3783783783783784,0.7912552891396333,0.5848168337590058,0.6130732283764723
DT,sensor_only,09,8,0.017543859649122806,0.962738301559792,0.4901410806044574,0.4895076367985243
DT,sensor_only,10,9,0.503448275862069,0.5067497403946002,0.5050990081283346,0.5416872560604433
DT,sensor_only,11,10,0.5436893203883495,0.7353324641460235,0.6395108922671865,0.6755610688472299
DT,sensor_only,12,11,0.35777126099706746,0.884709730171709,0.6212404955843882,0.6338039482739192
DT,sensor_only,13,12,0.7285714285714285,0.43393939393939396,0.5812554112554112,0.6540021645021645
