model,feature_set,sens,spec,bal_acc,auc
DT,full,"0.572 [0.484, 0.653]","0.659 [0.594, 0.731]","0.616 [0.588, 0.641]","0.649 [0.616, 0.683]"
DT,sensor_only,"0.536 [0.449, 0.608]","0.690 [0.626, 0.758]","0.613 [0.584, 0.639]","0.639 [0.606, 0.670]"
LR,full,"0.625 [0.548, 0.704]","0.643 [0.585, 0.698]","0.634 [0.606, 0.658]","0.697 [0.662, 0.729]"
LR,sensor_only,"0.597 [0.510, 0.683]","0.642 [0.575, 0.706]","0.620 [0.589, 0.652]","0.676 [0.636, 0.716]"
