pipeline,metric,mean,ci_low,ci_high
unfiltered,sens,0.6046005134090982,0.5223086356207818,0.6839008219809248
unfiltered,spec,0.6894311209545368,0.6250985879792317,0.7503282411197404
unfiltered,bal_acc,0.6470158171818176,0.6206250065917498,0.6743087011724073
unfiltered,auc,0.7096258613246191,0.6703585624816193,0.7495275358082054
filtered,sens,0.5720641196049385,0.48196019456771666,0.656284860570805
filtered,spec,0.705897288083916,0.6363412503780002,0.7750048910355013
filtered,bal_acc,0.6389807038444273,0.6126730856805648,0.6666725869400241
filtered,auc,0.7030991368915347,0.6678840113509074,0.7378896993350402
