level,N,both_eating,disagreement,both_non,pct_agreement,EU_rate,EI_rate,marginal_sum,kappa_symmetric_LOWER,kappa_maxasym_UPPER
"IU (delta_s=5s, 19 subj)",26304,2125,4955,19224,0.8116256082725061,0.26916058394160586,0.08078619221411192,0.3499467761557178,0.34754297929803407,0.38531714456141697
"raw frame (5Hz, 19 subj)",133040,22593,16948,93499,0.8726097414311486,0.2972113650030066,0.16982110643415513,0.46703247143716176,0.6441342577782974,0.6520218487658224
