level,N,both_eating,rater1_only,rater2_only,both_non,pct_agreement,p_rater1,p_rater2,pe,kappa,landis_koch
"IU (delta_s=5s, 19 subj)",26304,2286,4411,284,19323,0.8215100364963503,0.2546000608272506,0.09770377128953771,0.6974469401099478,0.4100540131092612,moderate
"raw frame (5Hz, 19 subj)",133040,22636,15622,1283,93499,0.8729329524954901,0.2875676488274203,0.17978803367408297,0.6360467617604189,0.6508698531736516,substantial
