arm,metric,n,mean,ci_low,ci_high
Menu A,sens,10,0.5785165718996992,0.45673376388160936,0.7138010687739049
Menu A,spec,10,0.690356537583757,0.5986546334808655,0.7708055502977941
Menu A,bal_acc,10,0.6344365547417281,0.5822760175958122,0.680235913530592
Menu A,auc,10,0.7102486540108869,0.6371661761282966,0.7793632189114873
Menu B,sens,9,0.6092738582259644,0.5054841754102849,0.6966586018901222
Menu B,spec,9,0.693281525668704,0.6030805006201819,0.7730677809152295
Menu B,bal_acc,9,0.6512776919473342,0.6207158916473939,0.6824281714342633
Menu B,auc,9,0.7141231707438218,0.671076574883169,0.7567933507004044
