metric,diff,ci_low,ci_high,p_two_sided
sens,-0.030757286326265176,-0.18694110618460041,0.13403347253811854,0.714
spec,-0.002924988084947011,-0.13778129974623216,0.11805671717826965,0.97
bal_acc,-0.016841137205606094,-0.081100827601979,0.03932402072268945,0.56
auc,-0.0038745167329349295,-0.08242169799947718,0.08005198116436428,0.992
