subject,model,sens,spec,bal_acc,auc
01,Attention (default),0.5705521472392638,0.5531400966183575,0.5618461219288107,0.5743309326931627
03,Attention (default),0.7094430992736077,0.6,0.6547215496368038,0.6856976392251817
04,Attention (default),0.4660714285714286,0.8209121245828699,0.6434917765771493,0.6755720641983156
05,Attention (default),0.6374045801526718,0.7406749555950266,0.6890397678738491,0.7481712608300679
06,Attention (default),0.49053030303030304,0.7178378378378378,0.6041840704340704,0.6064967239967239
07,Attention (default),0.5186335403726708,0.7121771217712177,0.6154053310719443,0.6850719671792992
08,Attention (default),0.3547297297297297,0.693935119887165,0.5243324248084473,0.5201368505317729
09,Attention (default),0.4064327485380117,0.6629116117850953,0.5346721801615535,0.554982922354992
10,Attention (default),0.35172413793103446,0.7393561786085151,0.5455401582697748,0.5815471288239576
11,Attention (default),0.39805825242718446,0.8135593220338984,0.6058087872305414,0.6249351274034506
12,Attention (default),0.4046920821114369,0.7825020441537204,0.5935970631325787,0.5863831787129864
13,Attention (default),0.625,0.6418181818181818,0.6334090909090909,0.6561818181818182
14,Attention (default),0.4659090909090909,0.8774016468435498,0.6716553688763204,0.7266385261581968
15,Attention (default),0.583941605839416,0.6085672082717873,0.5962544070556017,0.6510690142211777
16,Attention (default),0.4166666666666667,0.6655092592592593,0.541087962962963,0.5796006944444445
17,Attention (default),0.6296296296296297,0.7006420545746388,0.6651358421021343,0.7117650555852802
18,Attention (default),0.6076555023923444,0.5958781362007168,0.6017668192965306,0.6598283342765516
19,Attention (default),0.7289719626168224,0.666025641025641,0.6974988018212317,0.7387311286843996
20,Attention (default),0.5337078651685393,0.6671061305207646,0.600406997844652,0.6398717160569724
01,Attention (tuned),0.5693251533742332,0.5942028985507246,0.5817640259624789,0.6087015796805074
03,Attention (tuned),0.7263922518159807,0.62125,0.6738211259079903,0.7344854721549636
04,Attention (tuned),0.4714285714285714,0.7931034482758621,0.6322660098522168,0.6765274908628636
05,Attention (tuned),0.6898854961832062,0.6980461811722913,0.6939658386777487,0.7659247759413176
06,Attention (tuned),0.5549242424242424,0.5967567567567568,0.5758404995904995,0.5926330876330876
07,Attention (tuned),0.437888198757764,0.8071955719557196,0.6225418853567417,0.7087592537416059
08,Attention (tuned),0.38175675675675674,0.6755994358251057,0.5286780962909312,0.5300385011245378
09,Attention (tuned),0.4269005847953216,0.6351819757365684,0.531041280265945,0.5611450636991091
10,Attention (tuned),0.503448275862069,0.5327102803738317,0.5180792781179504,0.5442904715866366
11,Attention (tuned),0.45145631067961167,0.7809647979139505,0.6162105542967811,0.659637219782028
12,Attention (tuned),0.2434017595307918,0.8757154538021259,0.5595586066664588,0.5903611857770061
13,Attention (tuned),0.6142857142857143,0.610909090909091,0.6125974025974026,0.6453225108225109
14,Attention (tuned),0.5454545454545454,0.8499542543458372,0.6977043999001913,0.7419945105215003
15,Attention (tuned),0.9635036496350364,0.4401772525849335,0.701840451109985,0.814499347701862
16,Attention (tuned),0.5666666666666667,0.6307870370370371,0.5987268518518518,0.6425057870370371
17,Attention (tuned),0.6592592592592592,0.6597110754414125,0.6594851673503359,0.7379287795018131
18,Attention (tuned),0.722488038277512,0.5349462365591398,0.6287171374183258,0.6829157448851846
19,Attention (tuned),0.780373831775701,0.6333333333333333,0.7068535825545171,0.7732925952552121
20,Attention (tuned),0.6629213483146067,0.6031641397495056,0.6330427440320561,0.7003807040803478
01,DT,0.6245398773006134,0.5120772946859904,0.5683085859933019,0.600819477786669
03,DT,0.8280871670702179,0.39125,0.609668583535109,0.7128858958837773
04,DT,0.5607142857142857,0.657397107897664,0.6090556968059748,0.6286836564436676
05,DT,0.7318702290076335,0.6429840142095915,0.6874271216086125,0.7593801269100918
06,DT,0.4886363636363637,0.7448648648648649,0.6167506142506143,0.6517444717444717
07,DT,0.4409937888198758,0.7998154981549815,0.6204046434874286,0.6307556553826408
08,DT,0.5168918918918919,0.7376586741889986,0.6272752830404452,0.6179954637288911
09,DT,0.03508771929824561,0.9592720970537262,0.4971799081759859,0.4897812845226874
10,DT,0.4574712643678161,0.6022845275181724,0.5298778959429943,0.513911268664733
11,DT,0.4951456310679612,0.8305084745762712,0.6628270528221162,0.7036936241313402
12,DT,0.4633431085043988,0.7702371218315618,0.6167901151679803,0.6397613675328444
13,DT,0.7142857142857143,0.5060606060606061,0.6101731601731601,0.6715303030303031
14,DT,0.4545454545454546,0.838975297346752,0.6467603759461032,0.6512309739665642
15,DT,0.927007299270073,0.4268833087149187,0.6769453039924959,0.7797550377901649
16,DT,0.5666666666666667,0.6122685185185185,0.5894675925925925,0.59155574845679
17,DT,0.762962962962963,0.6573033707865169,0.7101331668747399,0.7431038582723977
18,DT,0.5358851674641149,0.47401433691756273,0.5049497521908388,0.5582951758673321
19,DT,0.7149532710280374,0.698076923076923,0.7065150970524803,0.7361505511622335
20,DT,0.550561797752809,0.6684245220830587,0.6094931599179338,0.6566552850466252
01,LGB (default),0.3950920245398773,0.7777777777777778,0.5864349011588276,0.6078865475237843
03,LGB (default),0.4443099273607748,0.84,0.6421549636803874,0.7242493946731232
04,LGB (default),0.14464285714285716,0.9833147942157954,0.5639788256793262,0.7359903861433332
05,LGB (default),0.3654580152671756,0.9325044404973357,0.6489812278822557,0.8161803587650676
