subject,fold,sens,spec,bal_acc,auc,model
01,1,0.37668711656441717,0.7777777777777778,0.5772324471710975,0.6035239026703418,LGB (tuned)
03,2,0.4225181598062954,0.86875,0.6456340799031477,0.7318840799031463,LGB (tuned)
04,3,0.10535714285714286,0.9810901001112347,0.5432236214841888,0.7234268234546317,LGB (tuned)
05,4,0.3702290076335878,0.9431616341030196,0.6566953208683037,0.8270985587026963,LGB (tuned)
06,5,0.2859848484848485,0.8151351351351351,0.5505599918099918,0.5844389844389852,LGB (tuned)
07,6,0.2857142857142857,0.933579335793358,0.6096468107538218,0.7748447204968921,LGB (tuned)
08,7,0.0472972972972973,0.9774330042313117,0.5123651507643046,0.6161561773338917,LGB (tuned)
09,8,0.08187134502923976,0.9038128249566725,0.4928420849929561,0.5012846240384319,LGB (tuned)
10,9,0.15632183908045977,0.8951194184839044,0.5257206287821821,0.5771284658812853,LGB (tuned)
11,10,0.07281553398058252,0.9882659713168188,0.5305407526487007,0.6470107973316801,LGB (tuned)
12,11,0.20821114369501467,0.9403107113654947,0.5742609275302547,0.6965588680303946,LGB (tuned)
13,12,0.30714285714285716,0.8921212121212121,0.5996320346320346,0.6947575757575744,LGB (tuned)
14,13,0.3409090909090909,0.9542543458371455,0.6475817183731182,0.8446103302004562,LGB (tuned)
15,14,0.7372262773722628,0.707533234859675,0.7223797561159688,0.7681915707986069,LGB (tuned)
16,15,0.15,0.9282407407407407,0.5391203703703703,0.6975212191358026,LGB (tuned)
17,16,0.16296296296296298,0.9871589085072231,0.5750609357350931,0.8043992628262279,LGB (tuned)
18,17,0.5119617224880383,0.7231182795698925,0.6175400010289653,0.6440079916310815,LGB (tuned)
19,18,0.514018691588785,0.816025641025641,0.665022166307213,0.7637161514497967,LGB (tuned)
20,19,0.20786516853932585,0.924851680949242,0.5663584247442839,0.7175309044314293,LGB (tuned)
